depth	dens	GR	Vp	Vs
911	1.7317	48.6926	2669.6819	1113.3713
911.25	1.6449	48.5293	2669.8286	1114.7516
911.5	1.4815	50.6316	2662.3066	1109.1211
911.75	1.5359	49.8251	2649.5154	1107.5336
912	1.8739	48.6347	2648.9055	1087.7478
912.25	2.0402	50.0561	2649.1802	1079.5856
912.5	2.1005	52.1853	2646.1833	1065.4666
912.75	2.2807	54.1658	2631.4885	1060.6644
913	2.2961	54.9054	2620.1985	1079.7277
913.25	2.3457	55.9559	2646.2061	1100.2279
913.5	2.4018	53.3554	2690.5913	1126.1788
913.75	2.3777	53.6357	2723.2922	1139.1907
914	2.3888	53.2762	2740.7158	1162.1079
914.25	2.4147	48.1712	2757.1248	1187.4216
914.5	2.4292	50.1305	2772.7791	1202.1368
914.75	2.4275	49.8202	2781.9927	1218.4198
915	2.4181	49.2291	2783.4944	1224.5029
915.25	2.4108	50.5109	2792.45	1230.3158
915.5	2.4167	47.1078	2808.1531	1243.4792
915.75	2.429	49.9591	2831.2166	1261.6427
916	2.4042	59.4438	2871.8181	1286.5574
916.25	2.2655	59.3338	2884.489	1293.5367
916.5	2.2051	59.66	2879.0583	1331.7021
916.75	2.3343	57.223	2871.3499	1289.2836
917	2.3558	57.0563	2879.2808	1255.7123
917.25	2.4194	56.5194	2784.9961	1222.6482
917.5	2.4359	60.5162	2771.2971	1207.9553
917.75	2.4481	71.3029	2753.4749	1197.6305
918	2.4375	75.4675	2737.5869	1184.7963
918.25	2.4463	72.35	2748.9578	1220.9026
918.5	2.4609	66.4894	2754.2688	1251.3414
918.75	2.4754	70.9294	2751.7747	1258.6489
919	2.4985	78.4028	2821.707	1315.8002
919.25	2.5253	73.5909	3093.7329	1410.3362
919.5	2.5269	61.8532	3180.2876	1471.1938
919.75	2.506	57.3945	3318.9495	1549.1986
920	2.5011	53.0214	3554.3374	1653.9462
920.25	2.5079	51.0092	3675.6746	1777.7319
920.5	2.5169	43.7802	3758.4673	1903.3044
920.75	2.4879	31.7553	3755.5991	2257.834
921	2.4421	32.0818	4041.5828	2598.0181
921.25	2.4592	47.3434	4094.0571	3269.28
921.5	2.503	63.2654	3614.3398	1932.5404
921.75	2.5138	60.7194	3489.8806	1790.5369
922	2.5156	58.3803	3323.4104	1626.3384
922.25	2.5278	64.122	3286.6953	1570.1083
922.5	2.5539	68.7483	3321.2671	1533.9476
922.75	2.5714	74.0591	3333.0227	1496.6464
923	2.5677	75.0891	3407.7183	1505.6528
923.25	2.5625	67.718	3486.8655	1508.0538
923.5	2.5443	61.9294	3556.3987	1508.2209
923.75	2.5272	61.6914	3590.2593	1558.3929
924	2.4998	59.2527	3619.6357	1616.6224
924.25	2.4679	51.2946	3655.3914	1799.6583
924.5	2.5049	51.6457	3650.7288	1851.8784
924.75	2.5699	65.2322	3600.5762	1890.3203
925	2.5522	73.5133	3524.0488	1846.9922
925.25	2.4529	68.7616	3419.8564	1801.8954
925.5	2.3413	59.7501	3351.7783	1754.0865
925.75	2.3375	55.5265	3298.6204	1709.181
926	2.4018	57.1003	3284.9504	1697.047
926.25	2.4798	60.4096	3305.2776	1727.2581
926.5	2.4771	66.6847	3341.9158	1758.588
926.75	2.4113	67.9512	3385.2646	1799.345
927	2.365	59.8443	3378.3735	1785.0127
927.25	2.3869	67.201	3353.9465	1802.3174
927.5	2.3678	64.7347	3299.1917	1789.0175
927.75	2.3514	50.3521	3265.3049	1791.957
928	2.3424	44.1693	3248.2466	1801.0522
928.25	2.3048	40.3542	3246.7288	1775.1613
928.5	2.2952	36.7353	3260.082	1792.3744
928.75	2.3017	35.7403	3290.1519	1822.6144
929	2.3192	39.1986	3330.5366	1850.5381
929.25	2.3512	41.782	3374.146	1859.2386
929.5	2.3749	40.9959	3404.9204	1889.6974
929.75	2.3943	39.935	3442.0796	1916.5314
930	2.3855	42.2457	3461.2512	1930.4261
930.25	2.3502	41.6416	3447.1052	1956.0576
930.5	2.3029	41.9481	3429.416	1978.9017
930.75	2.2761	41.9952	3366.6694	1964.5902
931	2.2748	39.2625	3372.0354	1936.9437
931.25	2.3354	37.94	3369.0554	1907.7288
931.5	2.4467	33.2588	3438.8123	1898.5782
931.75	2.5093	27.4179	3527.8977	1926.3889
932	2.4642	24.0333	3720.3821	1969.9418
932.25	2.4278	22.8788	3825.0317	2036.3
932.5	2.4257	24.9528	3933.4688	2044.7582
932.75	2.4506	24.4997	3956.7776	2034.088
933	2.4559	23.8545	3836.1816	2013.6139
933.25	2.4382	25.4442	3746.5688	1882.3289
933.5	2.4246	23.0025	3692.9644	1745.8901
933.75	2.4277	22.9103	3676.4739	1725.0291
934	2.452	23.0944	3693.4436	1740.7875
934.25	2.4596	24.7812	3761.3215	1732.7915
934.5	2.4281	27.8985	3791.0359	1727.6448
934.75	2.3711	27.6263	3688.408	1641.3303
935	2.3263	24.9676	3409.3074	1611.7953
935.25	2.3179	21.8119	3197.4629	1538.7405
935.5	2.3376	21.9852	3103.2429	1524.309
935.75	2.3682	22.3158	3033.5396	1453.4199
936	2.4196	22.839	3026.3887	1450.7438
936.25	2.4532	23.3808	3052.2869	1793.798
936.5	2.5169	27.1678	3289.9753	1962.194
936.75	2.5419	45.3109	3558.4355	2064.3103
937	2.5403	61.1198	3660.3896	2105.3882
937.25	2.5203	71.6385	3541.5867	2040.8464
937.5	2.5073	87.8146	3450.7717	1941.2478
937.75	2.5334	97.5294	3377.0093	1732.2117
938	2.5427	94.8617	3265.0798	1607.3669
938.25	2.5113	91.3742	3175.9031	1548.8604
938.5	2.4897	93.0064	3127.0378	1518.5596
